Year,DataSeries,Value
2011,20 - 24 Years,22.4
2011,25 - 29 Years,73.4
2011,30 - 34 Years,89.5
2011,35 - 39 Years,42.4
2011,40 - 44 Years,7.2
2011,45 - 49 Years,0.3
2011,Chinese,1.08
2011,Citizen Live-Births,30946
2011,Crude Birth Rate,9.5
2011,Gross Reproduction Rate,0.58
2011,Indians,1.09
2011,Malays,1.64
2011,Net Reproduction Rate,0.58
2011,Resident Live-Births,36178
2011,Total Fertility Rate (TFR),1.2
2011,Total Live-Births,39654
2012,15 - 19 Years,4.3
2012,20 - 24 Years,22.2
2012,25 - 29 Years,76.7
2012,30 - 34 Years,99.5
2012,35 - 39 Years,46.3
2012,40 - 44 Years,8
2012,45 - 49 Years,0.3
2012,Chinese,1.18
2012,Citizen Live-Births,33238
2012,Crude Birth Rate,10.1
2012,Gross Reproduction Rate,0.62
2012,Indians,1.15
2012,Malays,1.69
2012,Net Reproduction Rate,0.62
2012,Resident Live-Births,38641
2012,Total Fertility Rate (TFR),1.29
2012,Total Live-Births,42663
2013,15 - 19 Years,3.8
